index,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Meaning of Type of operation or tax status code,Number of establishments,"Value of sales, shipments, receipts, revenue, or business done ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,Number of nonemployer establishments,"Nonemployer value of sales, shipments, receipts, revenue, or business done ($1,000)"
13,United States,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"851,542","1,440,060,452","566,412,533","137,086,878","7,997,617",N,N
14,United States,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,"4,921","40,216,609","14,993,594","3,751,113","206,118",N,N
15,United States,55,Management of companies and enterprises,Total,"53,765","115,513,632","308,764,261","88,331,131","3,082,292",N,N
16,United States,56,Administrative and support and waste management and remediation services,Total,"386,387","673,036,536","329,013,077","78,774,951","9,774,262","2,006,177","42,443,032"
17,United States,61,Educational services,All establishments,"67,960","53,360,305","17,283,363","4,239,975","642,334","603,455","8,504,722"
18,United States,61,Educational services,Establishments subject to federal income tax,"55,922","39,480,166","12,885,576","3,157,612","493,861",N,N
19,United States,61,Educational services,Establishments exempt from federal income tax,"12,038","13,880,139","4,397,787","1,082,363","148,473",N,N
20,United States,62,Health care and social assistance,All establishments,"831,303","2,040,441,203","801,239,522","193,150,898","18,414,757","1,943,028","59,887,058"
21,United States,62,Health care and social assistance,Establishments subject to federal income tax,"690,525","1,008,744,636","409,811,943","95,934,650","9,542,138",N,N
22,United States,62,Health care and social assistance,Establishments exempt from federal income tax,"140,778","1,031,696,567","391,427,579","97,216,248","8,872,619",N,N
23,United States,71,"Arts, entertainment, and recreation",All establishments,"124,591","201,193,299","64,051,613","14,352,683","2,081,668","1,236,539","30,281,203"
24,United States,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,"99,659","161,690,323","50,328,525","11,180,343","1,486,462",N,N
25,United States,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,"24,932","39,502,976","13,723,088","3,172,340","595,206",N,N
26,United States,72,Accommodation and food services,Total,"662,489","708,138,598","196,103,341","47,296,658","12,007,689","340,770","15,021,102"
27,United States,81,Other services (except public administration),All establishments,"529,691","426,693,675","108,185,736","26,538,290","3,430,711","3,522,878","88,544,766"
28,United States,81,Other services (except public administration),Establishments subject to federal income tax,"422,719","230,974,896","69,948,275","17,028,628","2,543,493",N,N
29,United States,81,Other services (except public administration),Establishments exempt from federal income tax,"106,972","195,718,779","38,237,461","9,509,662","887,218",N,N
30,Alabama,21,"Mining, quarrying, and oil and gas extraction",Total,244,"4,724,250","593,144",N,"8,492",693,"37,671"
31,Alabama,22,Utilities,Total,424,Q,"1,361,953","454,940","15,454",268,"8,851"
32,Alabama,23,Construction,Total,"6,869","17,920,322","3,313,715","782,774","78,690","40,485","2,074,255"
33,Alabama,31-33,Manufacturing,Total,"4,283","124,809,759","11,099,489",N,"232,650","4,472","184,866"
34,Alabama,42,Wholesale trade,Wholesale Trade,"5,408","75,844,516","3,669,258","901,695","73,312","5,063","417,700"
35,Alabama,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","4,600","57,746,565","2,894,745","706,805","60,332",N,N
36,Alabama,42,Wholesale trade,Manufacturers' sales branches and offices,282,"10,858,345","623,482","160,411","9,733",N,N
37,Alabama,44-45,Retail trade,Total,"18,211","58,564,965","5,123,078","1,254,165","218,531","27,725","1,286,446"
38,Alabama,48-49 (104),Transportation and warehousing (104),Total,"2,836","8,422,354","2,460,237","577,477","57,835","12,910","936,236"
39,Alabama,51,Information,Total,"1,574",N,"1,897,597","490,865","35,102","2,963","92,939"
40,Alabama,52,Finance and insurance,Total,"7,294",N,"4,465,655","1,164,339","72,763","8,092","512,602"
41,Alabama,53,Real estate and rental and leasing,Total,"3,858","3,919,446","819,635","195,658","22,852","28,996","2,580,365"
42,Alabama,54,"Professional, scientific, and technical services",All establishments,"9,109","16,319,907","5,724,627","1,370,287","89,988","31,470","1,165,999"
43,Alabama,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"9,062","16,043,507","5,633,054","1,348,820","88,566",N,N
44,Alabama,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,47,"276,400","91,573","21,467","1,422",N,N
45,Alabama,55,Management of companies and enterprises,Total,630,"587,851","1,501,986","380,565","18,532",N,N
46,Alabama,56,Administrative and support and waste management and remediation services,Total,"4,118","6,847,331","3,383,869","795,712","133,280","37,924","636,289"
47,Alabama,61,Educational services,All establishments,554,"292,420","96,963","23,474","3,858","6,663","76,859"
48,Alabama,61,Educational services,Establishments subject to federal income tax,452,"257,486","84,748","20,326","3,258",N,N
49,Alabama,61,Educational services,Establishments exempt from federal income tax,102,"34,934","12,215","3,148",600,N,N
50,Alabama,62,Health care and social assistance,All establishments,"10,305","26,039,632","10,238,906","2,416,821","243,194","22,176","608,528"
51,Alabama,62,Health care and social assistance,Establishments subject to federal income tax,"8,489","14,627,847","5,995,013","1,386,609","142,386",N,N
52,Alabama,62,Health care and social assistance,Establishments exempt from federal income tax,"1,816","11,411,785","4,243,893","1,030,212","100,808",N,N
53,Alabama,71,"Arts, entertainment, and recreation",All establishments,"1,086","1,194,045","296,591","68,234","17,170","11,149","192,743"
54,Alabama,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,782,"885,019","178,337","40,819","10,487",N,N
55,Alabama,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,304,"309,026","118,254","27,415","6,683",N,N
56,Alabama,72,Accommodation and food services,Total,"8,339","7,576,462","2,071,134","498,001","157,337","4,880","208,163"
57,Alabama,81,Other services (except public administration),All establishments,"6,087","4,377,967","1,117,065","271,228","37,291","64,913","1,363,981"
58,Alabama,81,Other services (except public administration),Establishments subject to federal income tax,"5,009","3,191,859","892,951","216,199","31,262",N,N
59,Alabama,81,Other services (except public administration),Establishments exempt from federal income tax,"1,078","1,186,108","224,114","55,029","6,029",N,N
60,Alaska,21,"Mining, quarrying, and oil and gas extraction",Total,164,"27,947,603","1,454,292",N,"15,014",311,"24,113"
61,Alaska,22,Utilities,Total,86,Q,"184,291","42,187","2,025",56,"2,072"
62,Alaska,23,Construction,Total,"2,166","6,467,442","1,551,525","314,469","24,196","4,588","259,663"
63,Alaska,31-33,Manufacturing,Total,527,D,"514,519",N,"12,450","1,130","38,267"
64,Alaska,42,Wholesale trade,Wholesale Trade,743,"9,614,512","516,614","118,663","8,740",551,"34,424"
65,Alaska,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices",638,"5,216,303","440,852","100,586","7,734",N,N
66,Alaska,42,Wholesale trade,Manufacturers' sales branches and offices,59,"4,075,995","66,099","15,773",759,N,N
67,Alaska,44-45,Retail trade,Total,"2,508","10,474,275","977,441","230,200","33,721","3,971","155,433"
68,Alaska,48-49 (104),Transportation and warehousing (104),Total,"1,091","5,175,782","1,183,049","283,910","18,957","2,332","142,622"
69,Alaska,51,Information,Total,399,N,"395,173","114,332","6,523",525,"16,607"
70,Alaska,52,Finance and insurance,Total,740,N,"432,599","115,307","7,215",796,"44,941"
71,Alaska,53,Real estate and rental and leasing,Total,872,"1,022,686","187,629","44,015","4,212","4,538","471,751"
72,Alaska,54,"Professional, scientific, and technical services",All establishments,"1,898","3,175,233","1,178,261","265,202","17,648","6,635","282,024"
73,Alaska,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"1,866","3,140,275","1,163,499","261,658","17,328",N,N
74,Alaska,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,32,"34,958","14,762","3,544",320,N,N
75,Alaska,55,Management of companies and enterprises,Total,160,"244,590","684,245","204,481","6,274",N,N
76,Alaska,56,Administrative and support and waste management and remediation services,Total,"1,131","2,165,815","868,114","209,078","19,836","3,104","75,556"
77,Alaska,61,Educational services,All establishments,188,"91,203","31,700","7,794","1,365","1,470","21,379"
78,Alaska,61,Educational services,Establishments subject to federal income tax,95,"29,259","11,509","2,684",634,N,N
79,Alaska,61,Educational services,Establishments exempt from federal income tax,93,"61,944","20,191","5,110",731,N,N
80,Alaska,62,Health care and social assistance,All establishments,"2,432","6,375,483","2,434,230","575,617","48,701","3,744","148,831"
81,Alaska,62,Health care and social assistance,Establishments subject to federal income tax,"1,851","2,810,203","1,098,475","246,347","21,389",N,N
82,Alaska,62,Health care and social assistance,Establishments exempt from federal income tax,581,"3,565,280","1,335,755","329,270","27,312",N,N
83,Alaska,71,"Arts, entertainment, and recreation",All establishments,545,"406,833","91,011","20,500","5,055","3,140","61,914"
84,Alaska,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,441,"328,420","68,008","15,196","4,161",N,N
85,Alaska,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,104,"78,413","23,003","5,304",894,N,N
86,Alaska,72,Accommodation and food services,Total,"2,126","2,221,335","626,004","134,208","26,836","1,608","68,344"
87,Alaska,81,Other services (except public administration),All establishments,"1,355","904,550","235,814","56,517","7,238","5,461","168,754"
88,Alaska,81,Other services (except public administration),Establishments subject to federal income tax,882,"495,908","152,717","36,868","4,807",N,N
89,Alaska,81,Other services (except public administration),Establishments exempt from federal income tax,473,"408,642","83,097","19,649","2,431",N,N
90,Arizona,21,"Mining, quarrying, and oil and gas extraction",Total,217,"8,174,178","759,923",N,"11,822",390,"28,807"
91,Arizona,22,Utilities,Total,265,Q,"1,096,751","318,693","12,185",307,"16,118"
92,Arizona,23,Construction,Total,"10,577","26,250,281","5,580,421","1,286,831","123,886","34,702","1,771,113"
93,Arizona,31-33,Manufacturing,Total,"4,269","51,243,473","8,193,179",N,"131,941","6,897","302,191"
94,Arizona,42,Wholesale trade,Wholesale Trade,"6,647","96,619,179","5,159,180","1,312,531","88,916","7,428","645,515"
95,Arizona,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","5,570","69,437,272","4,144,342","1,041,441","73,496",N,N
96,Arizona,42,Wholesale trade,Manufacturers' sales branches and offices,361,"15,011,864","776,492","212,608","10,052",N,N
97,Arizona,44-45,Retail trade,Total,"17,479","84,716,542","7,367,834","1,827,805","286,184","35,465","1,540,082"
98,Arizona,48-49 (104),Transportation and warehousing (104),Total,"3,110","13,863,748","3,442,258","834,963","80,725","15,923","1,005,655"
99,Arizona,51,Information,Total,"2,117",N,"2,983,050","769,672","48,994","5,748","214,909"
100,Arizona,52,Finance and insurance,Total,"9,196",N,"7,846,586","2,176,122","128,762","14,733","977,123"
101,Arizona,53,Real estate and rental and leasing,Total,"8,089","9,329,704","1,693,206","422,388","40,479","57,193","4,415,488"
102,Arizona,54,"Professional, scientific, and technical services",All establishments,"16,198","19,268,106","7,378,696","1,755,901","121,381","61,695","2,629,411"
103,Arizona,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"16,112","19,041,887","7,272,614","1,729,773","119,843",N,N
104,Arizona,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,86,"226,219","106,082","26,128","1,538",N,N
105,Arizona,55,Management of companies and enterprises,Total,922,D,D,D,k,N,N
106,Arizona,56,Administrative and support and waste management and remediation services,Total,"8,051","13,486,148","6,543,604","1,561,018","216,880","37,639","892,901"
107,Arizona,61,Educational services,All establishments,"1,301","1,238,438","483,973","116,538","12,809","10,679","153,826"
108,Arizona,61,Educational services,Establishments subject to federal income tax,"1,128","1,156,787","456,356","109,811","11,618",N,N
109,Arizona,61,Educational services,Establishments exempt from federal income tax,173,"81,651","27,617","6,727","1,191",N,N
110,Arizona,62,Health care and social assistance,All establishments,"16,872","37,055,881","14,236,127","3,432,523","315,107","33,924","1,236,073"
111,Arizona,62,Health care and social assistance,Establishments subject to federal income tax,"15,041","20,221,122","7,974,631","1,862,382","184,186",N,N
112,Arizona,62,Health care and social assistance,Establishments exempt from federal income tax,"1,831","16,834,759","6,261,496","1,570,141","130,921",N,N
113,Arizona,71,"Arts, entertainment, and recreation",All establishments,"1,764","3,810,203","1,262,974","310,970","42,407","21,447","494,503"
114,Arizona,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,"1,424","3,279,270","1,088,269","266,460","33,881",N,N
115,Arizona,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,340,"530,933","174,705","44,510","8,526",N,N
116,Arizona,72,Accommodation and food services,Total,"11,669","13,996,635","4,030,307","1,022,952","251,455","5,158","265,655"
117,Arizona,81,Other services (except public administration),All establishments,"8,503","6,231,666","1,735,966","428,374","62,073","62,082","1,771,546"
118,Arizona,81,Other services (except public administration),Establishments subject to federal income tax,"7,025","4,192,862","1,223,937","302,461","46,847",N,N
119,Arizona,81,Other services (except public administration),Establishments exempt from federal income tax,"1,478","2,038,804","512,029","125,913","15,226",N,N
120,Arkansas,21,"Mining, quarrying, and oil and gas extraction",Total,370,"5,343,101","580,319",N,"10,196","1,306","103,660"
121,Arkansas,22,Utilities,Total,320,Q,"528,383","153,972","7,065",175,"5,872"
122,Arkansas,23,Construction,Total,"4,761","8,979,189","1,698,844","379,981","42,999","28,207","1,470,235"
123,Arkansas,31-33,Manufacturing,Total,"2,688","62,712,925","6,290,843",N,"153,706","2,733","118,138"
124,Arkansas,42,Wholesale trade,Wholesale Trade,"3,462","61,691,589","2,067,602","506,509","41,577","2,900","209,289"
125,Arkansas,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","2,884","31,256,110","1,630,772","401,608","34,492",N,N
126,Arkansas,42,Wholesale trade,Manufacturers' sales branches and offices,239,"17,669,424","327,744","80,095","4,482",N,N
127,Arkansas,44-45,Retail trade,Total,"10,923","36,815,256","3,061,534","746,225","135,448","17,504","843,367"
128,Arkansas,48-49 (104),Transportation and warehousing (104),Total,"2,356","7,944,928","2,047,441","506,465","50,798","9,279","691,967"
129,Arkansas,51,Information,Total,"1,020",N,"1,362,422","363,025","23,729","1,616","42,422"
130,Arkansas,52,Finance and insurance,Total,"4,319",N,"1,923,865","509,856","35,504","6,316","303,404"
131,Arkansas,53,Real estate and rental and leasing,Total,"2,802","1,922,699","409,831","95,194","12,867","16,830","1,445,297"
132,Arkansas,54,"Professional, scientific, and technical services",All establishments,"5,678","4,527,996","1,566,960","391,259","32,210","17,306","565,897"
133,Arkansas,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"5,655","4,464,886","1,549,219","387,141","31,871",N,N
134,Arkansas,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,23,"63,110","17,741","4,118",339,N,N
135,Arkansas,55,Management of companies and enterprises,Total,"1,252","928,213","3,292,435","1,055,569","39,993",N,N
136,Arkansas,56,Administrative and support and waste management and remediation services,Total,"2,601","3,180,510","1,508,127","345,233","52,676","20,359","345,388"
137,Arkansas,61,Educational services,All establishments,373,"142,072","41,790","9,981","2,206","3,866","42,308"
138,Arkansas,61,Educational services,Establishments subject to federal income tax,300,"123,158","35,192","8,282","1,819",N,N
139,Arkansas,61,Educational services,Establishments exempt from federal income tax,73,"18,914","6,598","1,699",387,N,N
140,Arkansas,62,Health care and social assistance,All establishments,"7,485","15,792,628","6,318,741","1,522,239","166,455","14,378","401,699"
141,Arkansas,62,Health care and social assistance,Establishments subject to federal income tax,"5,936","8,540,577","3,495,841","821,894","86,999",N,N
142,Arkansas,62,Health care and social assistance,Establishments exempt from federal income tax,"1,549","7,252,051","2,822,900","700,345","79,456",N,N
143,Arkansas,71,"Arts, entertainment, and recreation",All establishments,781,"704,439","160,027","36,247","8,881","6,277","109,683"
144,Arkansas,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,563,"498,975","104,284","23,257","5,927",N,N
145,Arkansas,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,218,"205,464","55,743","12,990","2,954",N,N
146,Arkansas,72,Accommodation and food services,Total,"5,473","4,307,264","1,182,546","285,148","95,854","2,872","136,550"
147,Arkansas,81,Other services (except public administration),All establishments,"3,961","2,339,440","586,252","142,746","21,830","36,299","834,621"
148,Arkansas,81,Other services (except public administration),Establishments subject to federal income tax,"3,157","1,427,644","423,704","104,066","17,091",N,N
149,Arkansas,81,Other services (except public administration),Establishments exempt from federal income tax,804,"911,796","162,548","38,680","4,739",N,N
150,California,21,"Mining, quarrying, and oil and gas extraction",Total,754,"22,148,874","2,246,053",N,"27,869","5,120","224,056"
151,California,22,Utilities,Total,"1,143",Q,"7,009,835","2,108,650","66,836","1,450","73,770"
152,California,23,Construction,Total,"60,247","148,546,029","30,413,827","6,989,348","597,265","216,569","11,552,985"
153,California,31-33,Manufacturing,Total,"38,741","512,303,164","69,316,766",N,"1,163,341","45,927","2,640,139"
154,California,42,Wholesale trade,Wholesale Trade,"59,293","969,249,516","58,755,349","14,831,739","842,343","61,167","6,536,694"
155,California,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","52,664","666,652,186","48,408,666","12,055,787","723,526",N,N
156,California,42,Wholesale trade,Manufacturers' sales branches and offices,"1,786","222,052,862","8,689,299","2,381,099","83,410",N,N
157,California,44-45,Retail trade,Total,"106,419","481,800,461","43,361,045","10,551,888","1,540,055","225,506","11,529,158"
158,California,48-49 (104),Transportation and warehousing (104),Total,"21,218","78,925,731","19,716,092","4,858,218","441,734","128,267","9,500,176"
159,California,51,Information,Total,"21,925",N,"70,661,932","16,337,089","561,399","59,482","2,551,405"
160,California,52,Finance and insurance,Total,"48,523",N,"57,898,326","16,626,875","601,858","83,765","6,487,961"
161,California,53,Real estate and rental and leasing,Total,"49,276","78,740,158","13,467,465","3,401,430","273,511","303,819","35,369,379"
162,California,54,"Professional, scientific, and technical services",All establishments,"114,321","234,371,249","90,437,296","22,063,038","1,303,232","510,600","24,852,250"
163,California,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"113,553","227,858,890","87,924,600","21,424,951","1,270,902",N,N
164,California,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,768,"6,512,359","2,512,696","638,087","32,330",N,N
165,California,55,Management of companies and enterprises,Total,"5,116","14,197,087","30,089,818","8,107,797","276,957",N,N
166,California,56,Administrative and support and waste management and remediation services,Total,"41,820","88,134,862","43,254,296","10,184,795","1,109,518","248,479","6,055,322"
167,California,61,Educational services,All establishments,"9,240","7,784,661","2,629,451","637,366","105,142","74,298","1,246,487"
168,California,61,Educational services,Establishments subject to federal income tax,"7,602","6,013,926","1,985,783","481,727","79,910",N,N
169,California,61,Educational services,Establishments exempt from federal income tax,"1,638","1,770,735","643,668","155,639","25,232",N,N
170,California,62,Health care and social assistance,All establishments,"103,207","248,953,592","91,139,895","22,052,702","1,776,440","266,155","8,983,277"
171,California,62,Health care and social assistance,Establishments subject to federal income tax,"89,999","127,355,683","48,372,656","11,372,470","1,005,201",N,N
172,California,62,Health care and social assistance,Establishments exempt from federal income tax,"13,208","121,597,909","42,767,239","10,680,232","771,239",N,N
173,California,71,"Arts, entertainment, and recreation",All establishments,"21,191","39,179,497","13,418,928","2,803,083","303,838","189,071","6,277,301"
174,California,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,"19,010","34,302,925","11,726,703","2,399,950","245,599",N,N
175,California,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,"2,181","4,876,572","1,692,225","403,133","58,239",N,N
176,California,72,Accommodation and food services,Total,"78,560","90,830,372","25,147,755","6,097,875","1,394,984","39,730","2,016,805"
177,California,81,Other services (except public administration),All establishments,"57,009","50,439,225","12,251,174","2,993,540","395,836","453,196","12,843,965"
178,California,81,Other services (except public administration),Establishments subject to federal income tax,"46,852","29,320,910","8,446,130","2,053,960","299,033",N,N
179,California,81,Other services (except public administration),Establishments exempt from federal income tax,"10,157","21,118,315","3,805,044","939,580","96,803",N,N
180,Colorado,21,"Mining, quarrying, and oil and gas extraction",Total,"1,155","20,334,956","2,481,777",N,"33,730","3,998","298,649"
181,Colorado,22,Utilities,Total,365,Q,"736,022","208,070","8,498",322,"17,247"
182,Colorado,23,Construction,Total,"13,986","29,823,432","5,887,650","1,323,102","123,511","48,796","2,803,092"
183,Colorado,31-33,Manufacturing,Total,"4,898","50,447,098","6,230,104",N,"114,632","7,324","292,635"
184,Colorado,42,Wholesale trade,Wholesale Trade,"7,224","118,605,118","6,155,428","1,541,118","92,714","6,991","516,859"
185,Colorado,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","5,733","77,034,971","4,762,104","1,172,983","75,717",N,N
186,Colorado,42,Wholesale trade,Manufacturers' sales branches and offices,421,"31,012,973","1,132,873","305,070","11,416",N,N
187,Colorado,44-45,Retail trade,Total,"18,474","67,815,200","6,508,583","1,569,618","245,704","35,955","1,406,341"
188,Colorado,48-49 (104),Transportation and warehousing (104),Total,"3,443","13,962,736","2,851,372","704,394","61,976","13,820","930,159"
189,Colorado,51,Information,Total,"3,023",N,"5,851,300","1,602,518","81,953","7,256","246,599"
190,Colorado,52,Finance and insurance,Total,"9,828",N,"7,418,129","2,125,247","98,761","16,090","1,196,632"
191,Colorado,53,Real estate and rental and leasing,Total,"9,295","8,482,453","1,569,552","378,114","38,706","55,872","4,957,007"
192,Colorado,54,"Professional, scientific, and technical services",All establishments,"23,872","33,740,692","12,932,134","3,099,179","180,064","77,612","3,302,909"
193,Colorado,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"23,761","32,686,803","12,536,975","3,000,339","175,448",N,N
194,Colorado,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,111,"1,053,889","395,159","98,840","4,616",N,N
195,Colorado,55,Management of companies and enterprises,Total,"1,004","1,527,616","5,635,705","1,669,958","55,053",N,N
196,Colorado,56,Administrative and support and waste management and remediation services,Total,"8,354","16,133,054","8,456,411","2,083,645","210,408","32,192","753,759"
197,Colorado,61,Educational services,All establishments,"1,911","1,301,886","431,180","108,625","14,615","12,748","190,596"
198,Colorado,61,Educational services,Establishments subject to federal income tax,"1,576","985,555","324,189","82,709","10,810",N,N
199,Colorado,61,Educational services,Establishments exempt from federal income tax,335,"316,331","106,991","25,916","3,805",N,N
200,Colorado,62,Health care and social assistance,All establishments,"14,869","29,488,161","11,876,968","2,839,561","257,898","32,407","984,842"
201,Colorado,62,Health care and social assistance,Establishments subject to federal income tax,"12,701","14,693,188","6,167,121","1,425,658","140,738",N,N
202,Colorado,62,Health care and social assistance,Establishments exempt from federal income tax,"2,168","14,794,973","5,709,847","1,413,903","117,160",N,N
203,Colorado,71,"Arts, entertainment, and recreation",All establishments,"2,433","3,783,005","1,322,928","324,835","51,235","25,483","511,759"
204,Colorado,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,"1,950","3,048,598","1,082,495","268,306","41,585",N,N
205,Colorado,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,483,"734,407","240,433","56,529","9,650",N,N
206,Colorado,72,Accommodation and food services,Total,"12,744","13,617,654","3,994,605","979,620","240,484","5,111","219,742"
207,Colorado,81,Other services (except public administration),All establishments,"10,246","8,518,960","2,100,101","509,475","64,398","54,525","1,496,278"
208,Colorado,81,Other services (except public administration),Establishments subject to federal income tax,"7,918","3,942,077","1,242,251","300,027","46,005",N,N
209,Colorado,81,Other services (except public administration),Establishments exempt from federal income tax,"2,328","4,576,883","857,850","209,448","18,393",N,N
210,Connecticut,21,"Mining, quarrying, and oil and gas extraction",Total,64,"413,836","54,468",N,"1,018",67,"7,376"
211,Connecticut,22,Utilities,Total,153,Q,"922,836","300,222","10,545",211,"10,013"
212,Connecticut,23,Construction,Total,"7,191","15,313,759","3,039,140","681,824","55,906","31,688","2,530,959"
213,Connecticut,31-33,Manufacturing,Total,"4,350","55,160,095","10,546,181",N,"163,847","3,646","229,683"
214,Connecticut,42,Wholesale trade,Wholesale Trade,"4,324","216,165,548","5,320,942","1,386,165","75,460","4,480","530,617"
215,Connecticut,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","3,675","161,962,244","3,934,423","995,964","58,814",N,N
216,Connecticut,42,Wholesale trade,Manufacturers' sales branches and offices,258,"34,117,184","1,078,240","318,501","11,327",N,N
217,Connecticut,44-45,Retail trade,Total,"12,597","51,632,467","4,974,539","1,226,834","182,528","18,907","1,161,740"
218,Connecticut,48-49 (104),Transportation and warehousing (104),Total,"1,595","5,113,665","1,680,594","412,070","44,003","6,597","401,792"
219,Connecticut,51,Information,Total,"1,675",N,"2,712,365","696,865","37,338","4,021","188,058"
220,Connecticut,52,Finance and insurance,Total,"6,108",N,"16,626,842","5,811,158","119,326","10,904","1,320,778"
221,Connecticut,53,Real estate and rental and leasing,Total,"3,219","5,349,451","958,361","240,487","19,778","34,416","3,319,546"
222,Connecticut,54,"Professional, scientific, and technical services",All establishments,"9,220","17,993,705","8,364,068","2,104,934","97,578","45,034","2,566,072"
223,Connecticut,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"9,176","17,863,930","8,316,659","2,093,096","96,768",N,N
224,Connecticut,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,44,"129,775","47,409","11,838",810,N,N
225,Connecticut,55,Management of companies and enterprises,Total,756,D,D,D,k,N,N
226,Connecticut,56,Administrative and support and waste management and remediation services,Total,"5,186","8,783,808","3,272,639","880,429","92,994","19,733","610,188"
227,Connecticut,61,Educational services,All establishments,"1,062","830,253","256,677","66,570","10,435","8,924","152,215"
228,Connecticut,61,Educational services,Establishments subject to federal income tax,866,"689,529","208,132","54,617","8,274",N,N
229,Connecticut,61,Educational services,Establishments exempt from federal income tax,196,"140,724","48,545","11,953","2,161",N,N
230,Connecticut,62,Health care and social assistance,All establishments,"10,296","29,573,119","12,533,455","3,023,923","271,272","23,022","766,575"
231,Connecticut,62,Health care and social assistance,Establishments subject to federal income tax,"7,876","13,333,420","6,058,834","1,417,763","131,732",N,N
232,Connecticut,62,Health care and social assistance,Establishments exempt from federal income tax,"2,420","16,239,699","6,474,621","1,606,160","139,540",N,N
233,Connecticut,71,"Arts, entertainment, and recreation",All establishments,"1,610","2,298,479","715,386","150,226","26,476","15,804","414,502"
