,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
10,no checking account,11,all credits at this bank paid back duly,others,3905,unknown/no savings account,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,unknown/no property,36,none,for free,2-3,skilled employee/official,3 or more,no,no,1
11,no checking account,30,all credits at this bank paid back duly,car (new),6187,less than 100 DM,4 to 7 yrs,35 or more,female : single,none,7 yrs or more,building soc. savings agr./life insurance,24,none,for free,2-3,skilled employee/official,0 to 2,no,no,1
12,no checking account,6,all credits at this bank paid back duly,furniture/equipment,1957,unknown/no savings account,4 to 7 yrs,35 or more,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,31,none,rent,1,skilled employee/official,0 to 2,no,no,1
13,less than 0 DM,48,existing credits paid back duly till now,business,7582,less than 100 DM,unemployed,25 to 35,male : married/widowed,none,7 yrs or more,real estate,31,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
14,no checking account,18,no credits taken/all credits paid back duly,furniture/equipment,1936,1000 DM or more,4 to 7 yrs,25 to 35,female : single,none,7 yrs or more,building soc. savings agr./life insurance,23,none,for free,2-3,unskilled-resident,0 to 2,no,no,1
15,no checking account,6,no credits taken/all credits paid back duly,furniture/equipment,2647,100 to 500 DM,1 to 4 yrs,25 to 35,male : married/widowed,none,4 to 7 yrs,unknown/no property,44,none,for free,1,skilled employee/official,3 or more,no,no,1
16,no checking account,11,all credits at this bank paid back duly,others,3939,unknown/no savings account,1 to 4 yrs,35 or more,male : married/widowed,none,1 to 4 yrs,unknown/no property,40,none,rent,2-3,unskilled-resident,3 or more,no,no,1
17,less than 0 DM,18,no credits taken/all credits paid back duly,furniture/equipment,3213,100 to 500 DM,less than 1 year,35 or more,female : single,none,4 to 7 yrs,unknown/no property,25,none,for free,1,skilled employee/official,0 to 2,no,no,1
18,less than 0 DM,36,all credits at this bank paid back duly,furniture/equipment,2337,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,unknown/no property,36,none,rent,1,skilled employee/official,0 to 2,no,no,1
19,200 DM or more,11,all credits at this bank paid back duly,others,7228,unknown/no savings account,1 to 4 yrs,35 or more,male : married/widowed,none,7 yrs or more,car or other,39,none,rent,2-3,unskilled-resident,0 to 2,no,no,1
20,no checking account,6,all credits at this bank paid back duly,others,3676,unknown/no savings account,1 to 4 yrs,35 or more,male : married/widowed,none,4 to 7 yrs,unknown/no property,37,none,for free,4-5,skilled employee/official,3 or more,no,no,1
21,less than 0 DM,12,all credits at this bank paid back duly,others,3124,unknown/no savings account,less than 1 year,35 or more,male : married/widowed,none,4 to 7 yrs,unknown/no property,49,bank,rent,2-3,unskilled-resident,3 or more,no,no,1
22,less than 0 DM,36,no credits taken/all credits paid back duly,domestic appliances,2384,unknown/no savings account,less than 1 year,less than 20,male : married/widowed,none,less than 1 year,real estate,33,none,for free,1,unskilled-resident,0 to 2,no,no,0
23,less than 0 DM,12,all credits at this bank paid back duly,radio/television,1424,unknown/no savings account,4 to 7 yrs,less than 20,male : married/widowed,none,4 to 7 yrs,car or other,26,none,rent,1,skilled employee/official,0 to 2,no,no,1
24,no checking account,6,all credits at this bank paid back duly,others,4716,1000 DM or more,less than 1 year,35 or more,male : married/widowed,none,4 to 7 yrs,unknown/no property,44,none,rent,2-3,unskilled-resident,3 or more,no,no,1
25,less than 0 DM,11,existing credits paid back duly till now,furniture/equipment,4771,unknown/no savings account,4 to 7 yrs,25 to 35,male : married/widowed,none,7 yrs or more,car or other,51,none,rent,1,skilled employee/official,0 to 2,no,no,1
26,no checking account,12,no credits taken/all credits paid back duly,car (used),652,unknown/no savings account,7 yrs or more,less than 20,female : non-single or male : single,none,7 yrs or more,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,1
27,less than 0 DM,9,all credits at this bank paid back duly,furniture/equipment,1154,unknown/no savings account,7 yrs or more,25 to 35,male : married/widowed,none,7 yrs or more,unknown/no property,37,none,rent,4-5,unskilled-resident,0 to 2,no,no,1
28,200 DM or more,15,no credits taken/all credits paid back duly,others,3556,1000 DM or more,1 to 4 yrs,20 to 25,male : married/widowed,none,1 to 4 yrs,real estate,29,none,rent,1,skilled employee/official,0 to 2,no,no,1
29,0 to 200 DM,42,all credits at this bank paid back duly,car (new),4796,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,real estate,56,none,own,1,skilled employee/official,0 to 2,no,no,1
30,0 to 200 DM,30,all credits at this bank paid back duly,furniture/equipment,3017,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,car or other,47,none,rent,1,skilled employee/official,0 to 2,no,no,1
31,200 DM or more,36,all credits at this bank paid back duly,others,3535,unknown/no savings account,4 to 7 yrs,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,37,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
32,200 DM or more,36,all credits at this bank paid back duly,others,6614,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,34,none,rent,2-3,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
33,200 DM or more,24,no credits taken/all credits paid back duly,furniture/equipment,1376,100 to 500 DM,4 to 7 yrs,less than 20,female : non-single or male : single,none,less than 1 year,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,no,no,1
34,no checking account,15,no credits taken/all credits paid back duly,others,1721,unknown/no savings account,less than 1 year,25 to 35,male : married/widowed,none,4 to 7 yrs,unknown/no property,36,none,rent,1,skilled employee/official,0 to 2,no,no,1
35,no checking account,6,all credits at this bank paid back duly,others,860,unknown/no savings account,7 yrs or more,35 or more,female : non-single or male : single,none,7 yrs or more,real estate,39,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
36,200 DM or more,12,all credits at this bank paid back duly,others,1495,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,less than 1 year,unknown/no property,38,none,rent,2-3,unskilled-resident,3 or more,no,no,1
37,200 DM or more,12,all credits at this bank paid back duly,furniture/equipment,1934,unknown/no savings account,7 yrs or more,25 to 35,male : married/widowed,none,1 to 4 yrs,real estate,26,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
38,200 DM or more,18,no credits taken/all credits paid back duly,car (new),3378,1000 DM or more,1 to 4 yrs,25 to 35,male : married/widowed,none,less than 1 year,car or other,31,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
39,200 DM or more,24,all credits at this bank paid back duly,car (new),3868,unknown/no savings account,7 yrs or more,less than 20,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,41,none,for free,2-3,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
40,200 DM or more,12,all credits at this bank paid back duly,domestic appliances,996,1000 DM or more,4 to 7 yrs,less than 20,female : non-single or male : single,none,7 yrs or more,unknown/no property,23,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
41,no checking account,24,no credits taken/all credits paid back duly,business,1755,unknown/no savings account,7 yrs or more,less than 20,female : non-single or male : single,guarantor,7 yrs or more,unknown/no property,58,none,rent,1,unskilled-resident,0 to 2,yes (under customer name),no,1
42,200 DM or more,18,all credits at this bank paid back duly,others,1028,unknown/no savings account,1 to 4 yrs,less than 20,female : non-single or male : single,none,4 to 7 yrs,unknown/no property,36,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
43,less than 0 DM,24,all credits at this bank paid back duly,retraining,2825,1000 DM or more,4 to 7 yrs,less than 20,male : married/widowed,none,4 to 7 yrs,real estate,34,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,1
44,less than 0 DM,18,no credits taken/all credits paid back duly,repairs,1239,1000 DM or more,1 to 4 yrs,less than 20,male : married/widowed,none,7 yrs or more,real estate,61,none,own,1,skilled employee/official,0 to 2,no,no,1
45,no checking account,18,no credits taken/all credits paid back duly,others,1216,unknown/no savings account,less than 1 year,less than 20,female : non-single or male : single,none,4 to 7 yrs,building soc. savings agr./life insurance,23,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,0
46,200 DM or more,24,no credits taken/all credits paid back duly,retraining,1258,unknown/no savings account,4 to 7 yrs,less than 20,male : married/widowed,none,less than 1 year,unknown/no property,25,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
47,200 DM or more,18,all credits at this bank paid back duly,repairs,1864,less than 100 DM,1 to 4 yrs,less than 20,female : non-single or male : single,none,1 to 4 yrs,unknown/no property,30,none,rent,2-3,skilled employee/official,0 to 2,no,no,0
48,200 DM or more,24,no credits taken/all credits paid back duly,others,1474,less than 100 DM,less than 1 year,less than 20,female : single,none,4 to 7 yrs,unknown/no property,33,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
49,no checking account,24,all credits at this bank paid back duly,retraining,1382,less than 100 DM,4 to 7 yrs,less than 20,male : married/widowed,none,less than 1 year,unknown/no property,26,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
50,200 DM or more,12,no credits taken/all credits paid back duly,others,640,unknown/no savings account,1 to 4 yrs,less than 20,male : divorced/separated,none,1 to 4 yrs,unknown/no property,49,none,rent,1,unskilled-resident,0 to 2,no,no,1
51,0 to 200 DM,36,no credits taken/all credits paid back duly,furniture/equipment,3919,unknown/no savings account,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,unknown/no property,23,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
52,200 DM or more,9,all credits at this bank paid back duly,others,1224,unknown/no savings account,1 to 4 yrs,20 to 25,male : married/widowed,none,less than 1 year,unknown/no property,30,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
53,200 DM or more,12,all credits at this bank paid back duly,furniture/equipment,2331,1000 DM or more,7 yrs or more,35 or more,male : married/widowed,co-applicant,7 yrs or more,unknown/no property,49,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
54,200 DM or more,24,no credits taken/all credits paid back duly,car (new),6313,1000 DM or more,7 yrs or more,20 to 25,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,41,none,rent,1,manager/self-employed/highly qualified employee,3 or more,yes (under customer name),no,1
55,no checking account,12,all credits at this bank paid back duly,furniture/equipment,385,unknown/no savings account,4 to 7 yrs,less than 20,female : non-single or male : single,none,4 to 7 yrs,unknown/no property,58,none,rent,6 or more,unskilled-resident,0 to 2,yes (under customer name),no,1
56,200 DM or more,12,all credits at this bank paid back duly,furniture/equipment,1655,unknown/no savings account,7 yrs or more,25 to 35,male : married/widowed,none,7 yrs or more,unknown/no property,63,none,rent,2-3,unskilled-resident,0 to 2,yes (under customer name),no,1
57,no checking account,15,no credits taken/all credits paid back duly,furniture/equipment,1053,unknown/no savings account,less than 1 year,less than 20,female : single,none,1 to 4 yrs,unknown/no property,27,none,rent,1,skilled employee/official,0 to 2,no,yes,1
58,200 DM or more,21,no credits taken/all credits paid back duly,furniture/equipment,3160,1000 DM or more,7 yrs or more,less than 20,male : married/widowed,none,4 to 7 yrs,car or other,41,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
59,200 DM or more,36,no credits taken/all credits paid back duly,others,3079,1000 DM or more,1 to 4 yrs,less than 20,male : married/widowed,none,7 yrs or more,unknown/no property,36,none,rent,1,skilled employee/official,0 to 2,no,no,1
60,200 DM or more,12,all credits at this bank paid back duly,others,1163,100 to 500 DM,1 to 4 yrs,less than 20,male : married/widowed,none,7 yrs or more,unknown/no property,44,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
61,200 DM or more,24,no credits taken/all credits paid back duly,car (new),2679,unknown/no savings account,less than 1 year,less than 20,female : non-single or male : single,none,less than 1 year,real estate,29,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
62,200 DM or more,48,all credits at this bank paid back duly,furniture/equipment,3578,1000 DM or more,7 yrs or more,less than 20,male : married/widowed,none,less than 1 year,unknown/no property,47,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
63,200 DM or more,36,existing credits paid back duly till now,others,10875,unknown/no savings account,7 yrs or more,25 to 35,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,45,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,1
64,no checking account,12,existing credits paid back duly till now,others,1344,unknown/no savings account,1 to 4 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,unknown/no property,43,none,rent,2-3,unskilled-resident,3 or more,no,no,1
65,200 DM or more,6,all credits at this bank paid back duly,furniture/equipment,1237,less than 100 DM,1 to 4 yrs,35 or more,female : non-single or male : single,none,less than 1 year,car or other,27,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
66,200 DM or more,12,no credits taken/all credits paid back duly,furniture/equipment,3077,unknown/no savings account,1 to 4 yrs,25 to 35,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,52,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
67,200 DM or more,24,no credits taken/all credits paid back duly,furniture/equipment,2284,unknown/no savings account,4 to 7 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
68,less than 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,1567,unknown/no savings account,1 to 4 yrs,35 or more,female : non-single or male : single,none,less than 1 year,building soc. savings agr./life insurance,22,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
69,200 DM or more,24,existing credits paid back duly till now,others,2032,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,real estate,60,none,own,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
70,less than 0 DM,21,all credits at this bank paid back duly,car (used),2745,500 to 1000 DM,4 to 7 yrs,20 to 25,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,32,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
71,200 DM or more,30,no credits taken/all credits paid back duly,furniture/equipment,1867,1000 DM or more,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,58,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
72,200 DM or more,36,no credits taken/all credits paid back duly,furniture/equipment,2299,100 to 500 DM,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,39,none,rent,1,skilled employee/official,0 to 2,no,no,1
73,200 DM or more,24,no credits taken/all credits paid back duly,car (used),929,1000 DM or more,4 to 7 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,31,stores,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
74,0 to 200 DM,12,no credits taken/all credits paid back duly,furniture/equipment,3399,1000 DM or more,7 yrs or more,25 to 35,male : married/widowed,none,4 to 7 yrs,building soc. savings agr./life insurance,37,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,no,no,1
75,less than 0 DM,9,no credits taken/all credits paid back duly,car (used),2030,1000 DM or more,4 to 7 yrs,25 to 35,male : married/widowed,none,less than 1 year,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
76,200 DM or more,21,all credits at this bank paid back duly,car (new),3275,unknown/no savings account,7 yrs or more,35 or more,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,36,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
77,200 DM or more,24,all credits at this bank paid back duly,others,1940,500 to 1000 DM,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,unknown/no property,60,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
78,no checking account,21,all credits at this bank paid back duly,others,1602,unknown/no savings account,7 yrs or more,less than 20,female : single,none,4 to 7 yrs,building soc. savings agr./life insurance,30,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
79,200 DM or more,15,no credits taken/all credits paid back duly,furniture/equipment,1979,1000 DM or more,7 yrs or more,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,35,none,rent,1,skilled employee/official,0 to 2,no,no,1
80,200 DM or more,24,all credits at this bank paid back duly,others,2022,unknown/no savings account,1 to 4 yrs,less than 20,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,37,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
81,200 DM or more,36,all credits at this bank paid back duly,furniture/equipment,3342,1000 DM or more,7 yrs or more,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,51,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
82,less than 0 DM,18,no credits taken/all credits paid back duly,others,5866,less than 100 DM,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,30,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
83,0 to 200 DM,15,all credits at this bank paid back duly,car (new),2360,100 to 500 DM,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,36,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
84,200 DM or more,15,all credits at this bank paid back duly,car (used),1520,1000 DM or more,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,car or other,63,none,rent,1,skilled employee/official,0 to 2,no,no,1
85,no checking account,12,no credits taken/all credits paid back duly,others,3651,500 to 1000 DM,1 to 4 yrs,35 or more,male : married/widowed,none,4 to 7 yrs,car or other,31,none,rent,1,skilled employee/official,3 or more,no,no,1
86,200 DM or more,24,all credits at this bank paid back duly,car (new),2346,unknown/no savings account,4 to 7 yrs,less than 20,male : married/widowed,none,4 to 7 yrs,building soc. savings agr./life insurance,35,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
87,200 DM or more,36,existing credits paid back duly till now,furniture/equipment,4454,unknown/no savings account,1 to 4 yrs,less than 20,female : non-single or male : single,none,7 yrs or more,unknown/no property,34,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
88,no checking account,6,all credits at this bank paid back duly,others,666,500 to 1000 DM,4 to 7 yrs,20 to 25,female : non-single or male : single,none,7 yrs or more,unknown/no property,39,none,rent,2-3,unskilled-resident,0 to 2,yes (under customer name),no,1
89,less than 0 DM,24,existing credits paid back duly till now,others,1965,1000 DM or more,1 to 4 yrs,less than 20,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,42,none,for free,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
90,less than 0 DM,12,all credits at this bank paid back duly,others,1995,less than 100 DM,less than 1 year,less than 20,male : married/widowed,none,less than 1 year,building soc. savings agr./life insurance,27,none,rent,1,skilled employee/official,0 to 2,no,no,1
91,less than 0 DM,30,no credits taken/all credits paid back duly,furniture/equipment,2991,1000 DM or more,7 yrs or more,25 to 35,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,25,none,rent,1,skilled employee/official,0 to 2,no,no,1
92,less than 0 DM,30,delay in paying off in the past,retraining,4221,unknown/no savings account,1 to 4 yrs,25 to 35,female : non-single or male : single,none,less than 1 year,building soc. savings agr./life insurance,28,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
93,no checking account,9,no credits taken/all credits paid back duly,furniture/equipment,1364,unknown/no savings account,4 to 7 yrs,20 to 25,male : married/widowed,none,7 yrs or more,unknown/no property,59,none,rent,1,skilled employee/official,0 to 2,no,no,1
94,less than 0 DM,18,all credits at this bank paid back duly,car (used),6361,unknown/no savings account,7 yrs or more,25 to 35,male : married/widowed,none,less than 1 year,real estate,41,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
95,200 DM or more,27,all credits at this bank paid back duly,car (used),4526,500 to 1000 DM,less than 1 year,less than 20,male : married/widowed,none,1 to 4 yrs,unknown/no property,32,stores,rent,2-3,unskilled-resident,3 or more,yes (under customer name),no,1
96,less than 0 DM,12,all credits at this bank paid back duly,furniture/equipment,3573,unknown/no savings account,1 to 4 yrs,35 or more,female : non-single or male : single,none,less than 1 year,unknown/no property,23,none,rent,1,unskilled-resident,0 to 2,no,no,1
97,less than 0 DM,36,existing credits paid back duly till now,retraining,4455,unknown/no savings account,1 to 4 yrs,25 to 35,male : divorced/separated,none,1 to 4 yrs,unknown/no property,30,stores,rent,2-3,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,0
98,no checking account,9,no credits taken/all credits paid back duly,car (used),2136,unknown/no savings account,1 to 4 yrs,20 to 25,male : married/widowed,none,1 to 4 yrs,unknown/no property,25,none,rent,1,skilled employee/official,0 to 2,no,no,1
99,less than 0 DM,42,all credits at this bank paid back duly,retraining,5954,unknown/no savings account,4 to 7 yrs,25 to 35,female : non-single or male : single,none,less than 1 year,unknown/no property,41,bank,rent,2-3,unskilled-resident,0 to 2,no,no,1
100,200 DM or more,24,all credits at this bank paid back duly,car (used),3777,500 to 1000 DM,1 to 4 yrs,less than 20,male : married/widowed,none,7 yrs or more,unknown/no property,40,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
101,no checking account,15,no credits taken/all credits paid back duly,retraining,806,unknown/no savings account,1 to 4 yrs,less than 20,female : non-single or male : single,none,7 yrs or more,car or other,22,none,rent,1,unskilled-resident,0 to 2,no,no,1
102,less than 0 DM,24,existing credits paid back duly till now,retraining,4712,1000 DM or more,1 to 4 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,car or other,34,bank,rent,2-3,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
103,less than 0 DM,36,existing credits paid back duly till now,others,7432,unknown/no savings account,1 to 4 yrs,25 to 35,female : non-single or male : single,none,1 to 4 yrs,car or other,54,none,for free,1,skilled employee/official,0 to 2,no,no,1
104,200 DM or more,24,all credits at this bank paid back duly,furniture/equipment,1851,unknown/no savings account,4 to 7 yrs,less than 20,female : single,guarantor,1 to 4 yrs,building soc. savings agr./life insurance,33,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
105,200 DM or more,24,no credits taken/all credits paid back duly,others,1393,unknown/no savings account,1 to 4 yrs,25 to 35,male : married/widowed,guarantor,1 to 4 yrs,unknown/no property,31,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
106,200 DM or more,12,all credits at this bank paid back duly,retraining,1412,unknown/no savings account,1 to 4 yrs,less than 20,female : non-single or male : single,guarantor,1 to 4 yrs,unknown/no property,29,none,rent,2-3,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
107,200 DM or more,18,no credits taken/all credits paid back duly,furniture/equipment,1473,unknown/no savings account,less than 1 year,20 to 25,female : single,none,7 yrs or more,unknown/no property,39,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
108,200 DM or more,24,no credits taken/all credits paid back duly,furniture/equipment,1533,unknown/no savings account,less than 1 year,less than 20,female : non-single or male : single,none,4 to 7 yrs,building soc. savings agr./life insurance,38,stores,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
109,200 DM or more,12,all credits at this bank paid back duly,repairs,2012,1000 DM or more,4 to 7 yrs,less than 20,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,61,none,rent,1,skilled employee/official,0 to 2,no,no,1
110,no checking account,15,no credits taken/all credits paid back duly,others,3959,unknown/no savings account,1 to 4 yrs,20 to 25,female : non-single or male : single,none,1 to 4 yrs,car or other,29,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,0
111,no checking account,6,no credits taken/all credits paid back duly,car (used),428,unknown/no savings account,7 yrs or more,25 to 35,female : non-single or male : single,none,less than 1 year,car or other,49,bank,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
112,less than 0 DM,12,all credits at this bank paid back duly,others,2366,100 to 500 DM,4 to 7 yrs,20 to 25,male : divorced/separated,none,4 to 7 yrs,building soc. savings agr./life insurance,36,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
113,200 DM or more,12,no credits taken/all credits paid back duly,car (used),763,unknown/no savings account,1 to 4 yrs,less than 20,female : non-single or male : single,none,less than 1 year,unknown/no property,26,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
114,less than 0 DM,21,no credits taken/all credits paid back duly,car (used),3976,1000 DM or more,4 to 7 yrs,25 to 35,male : married/widowed,none,4 to 7 yrs,building soc. savings agr./life insurance,35,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
115,less than 0 DM,18,no credits taken/all credits paid back duly,others,6260,unknown/no savings account,4 to 7 yrs,20 to 25,male : married/widowed,none,4 to 7 yrs,unknown/no property,28,none,for free,1,unskilled-resident,0 to 2,no,no,1
116,less than 0 DM,9,all credits at this bank paid back duly,car (used),1919,unknown/no savings account,4 to 7 yrs,less than 20,male : married/widowed,none,4 to 7 yrs,building soc. savings agr./life insurance,35,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,1
117,200 DM or more,24,no credits taken/all credits paid back duly,car (new),2603,500 to 1000 DM,1 to 4 yrs,25 to 35,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,28,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,1
